name,address,latitude,longitude,rating,num_reviews,food_types,price_level,hours,place_id
The Jovial Sailor Ripley,"Portsmouth Road Ripley, Woking, Ripley, Woking GU23 6EZ, UK",51.2894022,-0.5021131000000001,4.3,1526,"pub, bar",PRICE_LEVEL_MODERATE,Monday: 11:00 AM – 11:00 PM; Tuesday: 11:00 AM – 11:00 PM; Wednesday: 11:00 AM – 11:00 PM; Thursday: 11:00 AM – 11:00 PM; Friday: 11:00 AM – 11:00 PM; Saturday: 11:00 AM – 11:00 PM; Sunday: 11:00 AM – 11:00 PM,ChIJxyLwkRHZdUgRUo3ANVfCTg8
Shell,"Portsmouth Rd, Send, Woking GU23 7JY, UK",51.281842,-0.513326,3.2,48,"gas_station, sandwich_shop, coffee_shop, convenience_store, liquor_store, cafe, food_store, store",PRICE_LEVEL_MODERATE,Monday: 7:00 AM – 10:00 PM; Tuesday: 7:00 AM – 10:00 PM; Wednesday: 7:00 AM – 10:00 PM; Thursday: 7:00 AM – 10:00 PM; Friday: 7:00 AM – 10:00 PM; Saturday: 7:00 AM – 10:00 PM; Sunday: 8:00 AM – 9:00 PM,ChIJZa8q9BrZdUgRffRW4ycIR-U
Starbucks Coffee,"A3, Ripley, Woking GU23 6PT, UK",51.29259,-0.4904899999999999,3.8,1150,"coffee_shop, sandwich_shop, tea_house, cafe, meal_takeaway, food_store, store",PRICE_LEVEL_MODERATE,Monday: 5:30 AM – 7:00 PM; Tuesday: 5:30 AM – 7:00 PM; Wednesday: 5:30 AM – 7:00 PM; Thursday: 5:30 AM – 7:00 PM; Friday: 5:30 AM – 7:00 PM; Saturday: 6:00 AM – 7:00 PM; Sunday: 7:00 AM – 7:00 PM,ChIJ8c-c0zzZdUgRA867pS2LwkQ
M&S Food To Go,"Ripley By-Pass Wisley, A3,10, Ripley, Woking GU23 6PT, UK",51.2929471,-0.4899991,2.6,55,"convenience_store, sandwich_shop, supermarket, grocery_store, food_store, store",PRICE_LEVEL_MODERATE,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,ChIJ16mpRD3ZdUgRIupSNHUOsds
Ocean City,"149 Send Rd, Send, Woking GU23 7EZ, UK",51.291360999999995,-0.532242,3.8,75,"meal_takeaway, chinese_restaurant",PRICE_LEVEL_INEXPENSIVE,"Monday: 5:00 – 9:00 PM; Tuesday: 12:00 – 2:00 PM, 5:00 – 9:30 PM; Wednesday: 12:00 – 2:00 PM, 5:00 – 9:30 PM; Thursday: 12:00 – 2:00 PM, 5:00 – 9:30 PM; Friday: 12:00 – 2:00 PM, 5:00 – 9:30 PM; Saturday: 12:00 – 2:00 PM, 5:00 – 9:30 PM; Sunday: Closed",ChIJH9UGOrrZdUgRiQsafoYr2f8
Pig Out Pizza Limited,"Ripley Nurseries, Portsmouth Rd, Ripley, Woking GU2 3EY, UK",51.2901661,-0.502703,5,1,"catering_service, food_delivery",N/A,Monday: Closed; Tuesday: 10:00 AM – 3:00 PM; Wednesday: 10:00 AM – 3:00 PM; Thursday: 10:00 AM – 3:00 PM; Friday: 10:00 AM – 3:00 PM; Saturday: 10:00 AM – 3:00 PM; Sunday: Closed,ChIJywrlUoDRdUgR8-Z61BloOfg
The Drift Golf Club,"The Drift, East Horsley, Leatherhead KT24 5HD, UK",51.2887226,-0.4298545,4.5,248,"wedding_venue, event_venue, sports_coaching, sporting_goods_store, sports_club, sports_activity_location, health, store",N/A,Monday: 7:30 AM – 9:00 PM; Tuesday: 7:30 AM – 9:00 PM; Wednesday: 7:30 AM – 9:00 PM; Thursday: 7:30 AM – 9:00 PM; Friday: 7:30 AM – 9:00 PM; Saturday: 7:00 AM – 8:00 PM; Sunday: 7:00 AM – 8:00 PM,ChIJyYQug_jmh0gRAGrOtua1NM8
The Queen Stage,"The St, Effingham, Leatherhead KT24 5LU, UK",51.272221099999996,-0.4001629,4.6,242,"pub, guest_house, pizza_restaurant, hamburger_restaurant, diner, cafe, meal_takeaway, hotel, american_restaurant, lodging, bar",PRICE_LEVEL_MODERATE,Monday: 10:00 AM – 11:00 PM; Tuesday: 10:00 AM – 11:00 PM; Wednesday: 10:00 AM – 11:00 PM; Thursday: 10:00 AM – 11:00 PM; Friday: 10:00 AM – 11:00 PM; Saturday: 9:00 AM – 11:00 PM; Sunday: 9:00 AM – 9:00 PM,ChIJO8-jOzTfdUgRh_qan0NCxmw
La Meridiana,"Ockham Rd S, East Horsley, Leatherhead KT24 6QU, UK",51.2781058,-0.43594849999999996,4.5,451,italian_restaurant,PRICE_LEVEL_EXPENSIVE,Monday: 12:00 – 9:00 PM; Tuesday: 12:00 – 9:00 PM; Wednesday: 12:00 – 9:00 PM; Thursday: 12:00 – 9:00 PM; Friday: 12:00 – 9:00 PM; Saturday: 12:00 – 9:00 PM; Sunday: 12:00 – 9:00 PM,ChIJ487yJ5vedUgRYzN61ITciw8
Yasmin Indian Restaurant,"15 Bishopsmead Parade, East Horsley, Leatherhead KT24 6RT, UK",51.2649032,-0.43199499999999996,4.7,218,"indian_restaurant, meal_takeaway",PRICE_LEVEL_MODERATE,"Monday: Closed; Tuesday: 5:30 – 10:30 PM; Wednesday: 12:00 – 2:00 PM, 6:00 – 10:30 PM; Thursday: 12:00 – 2:00 PM, 6:00 – 10:30 PM; Friday: 12:00 – 2:00 PM, 6:00 – 10:30 PM; Saturday: 12:00 – 2:00 PM, 6:00 – 10:30 PM; Sunday: 12:00 – 2:45 PM, 6:00 – 10:30 PM",ChIJlVMuK4PedUgRR9hp-ALMUsU
Loolabells outdoors kitchen,"KGV playing fields, Effingham, Leatherhead KT24 5ND, UK",51.2699316,-0.3966054,4.9,58,meal_takeaway,N/A,Monday: 8:00 AM – 6:00 PM; Tuesday: 8:00 AM – 6:00 PM; Wednesday: 8:00 AM – 6:00 PM; Thursday: 8:00 AM – 6:00 PM; Friday: 8:00 AM – 6:00 PM; Saturday: 8:00 AM – 6:00 PM; Sunday: 9:00 AM – 4:00 PM,ChIJydbiap7fdUgRUilArChrNVc
